school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,building_name,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n
2013-14,K001,15K001,P.S. 001 The Bergen,K001,309 47 STREET,K,15,1277,,1,P.S. 001 The Bergen,0,2,1,1,0,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,K002,17K002,Parkside Preparatory Academy,K002,655 PARKSIDE AVENUE,K,17,479,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,,,,,251-500,3C,,,,,
2013-14,K002,75K141,P.S. K141,K141,655 PARKSIDE AVENUE,K,17,397,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,,,,,251-500,3C,,,,,
2013-14,K002,84K704      ,Explore Charter School,K704,655 PARKSIDE AVENUE,K,17,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,,,,,,,,,,,
2013-14,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,K,17,876,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,1,5,2,2,4,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,K003,13K003,P.S. 003 The Bedford Village,K003,50 JEFFERSON AVENUE,K,13,513,,1,P.S. 003 The Bedford Village,2,0,0,2,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K005,16K005,P.S. 005 Dr. Ronald Mcnair,K005,820 HANCOCK STREET,K,16,312,,1,P.S. 005 Dr. Ronald Mcnair,1,1,0,2,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,K006,17K006,P.S. 006,K006,43 SNYDER AVENUE,K,17,714,,1,P.S. 006,0,1,2,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K007,19K007,P.S. 007 Abraham Lincoln,K007,858 JAMAICA AVENUE,K,19,1073,,1,P.S. 007 Abraham Lincoln,0,1,0,0,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,K008,13K008,P.S. 008 Robert Fulton,K008,37 HICKS STREET,K,13,848,,1,P.S. 008 Robert Fulton,0,0,0,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
