building_code,location,major_n,oth_n,nocrim_n,prop_n,vio_n
K001,"40.7608559, -73.987927",0,0,0,0,0
K002,"40.6563887, -73.9514618",0.990739035228747,1.98147807045749,0.990739035228747,1.98147807045749,0.990739035228747
K003,"40.6823068, -73.9552409",0,1.67015900352679,1.67015900352679,0,1.67015900352679
K005,"40.6854939, -73.9223832",0,3.15335970994179,0,0,3.15335970994179
K006,"40.6489827, -73.9562456",0,0,1.12680055051963,0,0
K007,"40.6895935, -73.8729894",0,0,0,0,0
K008,"40.7007275, -73.9928047",0.960341358160058,0,0.960341358160058,0.960341358160058,0
K009,"40.6785844, -73.9663398",0,0,0,0,0
K010,"40.7530692, -73.9886201",0.770374126460026,0,0,0.770374126460026,0
K011,"40.6856228, -73.9658514",0,1.05242888430715,1.05242888430715,1.05242888430715,0
K012,"40.6731183, -73.920067",0,9.21090365269768,2.30272591317442,6.90817773952326,2.30272591317442
K013,"40.6637837, -73.8932587",0,1.71072964208821,6.84291856835286,0,1.71072964208821
K014,"40.5935161, -73.9381931",0,2.01694619190262,4.03389238380524,2.01694619190262,0
K015,"40.7244068, -74.0037985",1.86145459759965,1.86145459759965,0,3.72290919519929,0
K016,"40.7059151, -73.9620676",0,0,7.10168458175873,0,0
K017,"40.7152742, -73.957057",0,0,4.17849400395268,0,0
K018,"40.7108275, -73.9469479",0,0,4.40156482878585,0,0
K019,"40.7099877, -73.9547556",0,0,0,0,0
K020,"40.691059, -73.9710157",0,1.94052905227187,2.91079357840781,0.970264526135937,0.970264526135937
K021,"40.680441, -73.92635",1.32046942895923,2.64093885791846,0,2.64093885791846,1.32046942895923
K022,"40.6770364, -73.9600737",0,2.48558952490945,2.48558952490945,2.48558952490945,0
K023,"40.6944681, -73.9474069",0,2.84545589789261,2.84545589789261,2.84545589789261,0
K024,"40.7562936, -73.9953403",0,0,3.56081632267888,0,0
K025,"40.6914765, -73.940691",0,2.93437648693548,8.8031296575717,0,0
K026,"40.6919757, -73.9314884",1.53654623208568,6.1461849283427,6.1461849283427,3.07309246417135,3.07309246417135
K027,"40.6778469, -74.0048179",0,0,0,0,0
K028,"40.6781614, -73.9202186",0,0,0,0,0
K029,"40.7142589, -73.9810442",0,0,0,0,0
K031,"40.7269875, -73.9541882",0,0,0,0,0
K032,"40.6804309, -73.9917041",0,5.00059427786854,1.25014856946714,5.00059427786854,0
K033,"40.6967257, -73.9473094",0,7.87972438819235,5.90979309437899,1.96993109704809,5.90979309437899
K034,"40.7263917, -73.9498398",0,0,0,0,0
K035,"40.6817075, -73.9357224",0,2.0217712699809,10.1088569402003,2.0217712699809,0
K038,"40.6849644, -73.9828242",0,3.1300015073584,1.5650007536792,3.1300015073584,0
K039,"40.7336167, -73.9995861",0,0,0,0,0
K040,"40.6802016, -73.9214653",0,3.1300015073584,1.5650007536792,1.5650007536792,1.5650007536792
K041,"40.660182, -73.9068734",0,1.6005690286494,1.6005690286494,0,1.6005690286494
K043,"40.5837653, -73.954016",0,0.586061338473206,1.75818391703698,0.586061338473206,0
K044,"40.6862075, -73.9409238",0,3.237932573464,6.47586514692801,0,0
K045,"40.6866584, -73.910178",0,0,0,0,0
K046,"40.6944248, -73.9716268",0,2.63271151146683,2.63271151146683,0,2.63271151146683
K048,"40.6215553, -73.987279",0,0,0,0,0
K049,"40.7097646, -73.9445189",1.72235138630219,2.87058557824857,2.29646858065802,3.44470277260439,1.14823429032901
K050,"40.7118634, -73.9600489",3.69039491406536,0,7.38078982813072,0,3.69039491406536
K051,"40.7484404, -73.9856554",0,0.752538239707549,0,0,0.752538239707549
K052,"40.5874041, -73.9402515",0,0,0,0,0
K054,"40.6926969, -73.952501",3.40766289014102,3.40766289014102,0,6.81532578028204,0
K055,"40.6744933, -73.9132463",4.78810430894358,7.18215685694592,14.3643137138918,4.78810430894358,7.18215685694592
K056,"40.6843355, -73.9605487",0,2.0217712699809,2.0217712699809,2.0217712699809,0
K057,"40.6913962, -73.9331397",0,14.3237359917805,8.18499233261505,8.18499233261505,6.13874405269601
K058,"40.6804297, -73.9956601",0,0.867659600881883,0,0.867659600881883,0
K059,"40.6977036, -73.9433424",0,0,0,0,0
K061,"40.6636762, -73.9490341",3.16122343416487,8.42992968248038,6.32244686832974,4.21496484124019,6.32244686832974
K062,"40.6385738, -73.9712399",0,1.3173817882609,0.658690894130452,0,1.3173817882609
K066,"40.7828679, -73.9438693",0,0,2.07386605717981,0,0
K067,"40.6951434, -73.9778888",7.2230808859416,0,0,7.2230808859416,0
K068,"40.7723574, -73.9466939",1.54497339367426,9.26984036204558,3.08994678734853,3.08994678734853,6.17989357469706
K069,"40.7419383, -74.0046655",0,0,0,0,0
K071,"40.703878, -73.953472",0,8.54870349907548,7.3274601420647,6.10621678505392,2.44248671402157
