building_code,major_n,oth_n,nocrim_n,prop_n,vio_n
K001,0,0,0,0,0
K002,1,2,1,2,1
K003,0,1,1,0,1
K005,0,1,0,0,1
K006,0,0,1,0,0
K007,0,0,0,0,0
K008,1,0,1,1,0
K009,0,0,0,0,0
K010,1,0,0,1,0
K011,0,1,1,1,0
K012,0,4,1,3,1
K013,0,1,4,0,1
K014,0,2,4,2,0
K015,1,1,0,2,0
K016,0,0,2,0,0
K017,0,0,4,0,0
K018,0,0,1,0,0
K019,0,0,0,0,0
K020,0,2,3,1,1
K021,1,2,0,2,1
K022,0,1,1,1,0
K023,0,1,1,1,0
K023 ,,,,,
K024,0,0,3,0,0
K025,0,1,3,0,0
K026,1,4,4,2,2
K027,0,0,0,0,0
K028,0,0,0,0,0
K029,0,0,0,0,0
K031,0,0,0,0,0
K032,0,4,1,4,0
K033,0,4,3,1,3
K034,0,0,0,0,0
K035,0,1,5,1,0
K038,0,2,1,2,0
K039,0,0,0,0,0
K040,0,2,1,1,1
K041,0,1,1,0,1
K043,0,1,3,1,0
K044,0,1,2,0,0
K045,0,0,0,0,0
K046,0,2,2,0,2
K048,0,0,0,0,0
K049,3,5,4,6,2
K050,1,0,2,0,1
K051,0,1,0,0,1
K052,0,0,0,0,0
K054,1,1,0,2,0
K055,2,3,6,2,3
K056,0,1,1,1,0
K057,0,7,4,4,3
K058,0,1,0,1,0
K059,0,0,0,0,0
K061,3,8,6,4,6
K062,0,2,1,0,2
K066,0,0,2,0,0
K067,2,0,0,2,0
K068,1,6,2,2,4
K069,0,0,0,0,0
K071,0,7,6,5,2
K072,0,2,3,2,0
K073,3,3,1,4,1
K075,0,0,3,0,0
K078,2,4,7,0,6
K081,1,0,3,1,0
K084,0,2,1,2,0
K085,2,9,7,4,6
K086,0,0,0,0,0
K088,0,2,3,1,1
K090,0,2,2,0,1
K091,1,1,0,2,0
K092,0,2,0,1,1
K093,0,0,0,0,0
K094,0,1,4,1,0
K095,1,2,1,3,0
K096,0,3,4,2,1
K097,0,1,0,0,1
K099,0,0,0,0,0
K100,0,0,0,0,0
K101,0,0,1,0,0
K102,0,0,1,0,0
K104,0,0,1,0,0
K105,0,0,0,0,0
K106,0,0,0,0,0
K107,0,1,1,1,0
K108,0,1,1,1,0
K110,0,0,0,0,0
K111,1,4,12,2,2
K112,0,0,1,0,0
K113,2,3,2,5,0
K114,1,1,1,2,0
K115,0,1,3,1,0
K116,0,1,0,1,0
K117,0,2,0,2,0
K119,0,0,2,0,0
K120,0,1,2,0,1
K121,0,0,0,0,0
K123,0,0,1,0,0
