building_code,location_name,address,borough,geographical_district_code,register,schools,schools_in_building,engroupa,rangea
K001,P.S. 001 The Bergen,309 47 STREET,K,15,1277,1,P.S. 001 The Bergen,7C,1251-1500
K002,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,655 PARKSIDE AVENUE,K,17,853,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,5C,751-1000
K003,P.S. 003 The Bedford Village,50 JEFFERSON AVENUE,K,13,506,1,P.S. 003 The Bedford Village,4C,501-750
K005,P.S. 005 Dr. Ronald Mcnair,820 HANCOCK STREET,K,16,268,1,P.S. 005 Dr. Ronald Mcnair,3C,251-500
K006,P.S. 006,43 SNYDER AVENUE,K,17,750,1,P.S. 006,4C,501-750
K007,P.S. 007 Abraham Lincoln,858 JAMAICA AVENUE,K,19,1037,1,P.S. 007 Abraham Lincoln,6C,1001-1250
K008,P.S. 008 Robert Fulton,37 HICKS STREET,K,13,880,1,P.S. 008 Robert Fulton,5C,751-1000
K009,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,80 UNDERHILL AVENUE,K,13,796,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,5C,751-1000
K010,"Magnet School of Math, Science and Design Technolo",511 7 AVENUE,K,15,1097,1,"Magnet School of Math, Science and Design Technolo",6C,1001-1250
K011,P.S. 011 Purvis J. Behan,419 WAVERLY AVENUE,K,13,803,1,P.S. 011 Purvis J. Behan,5C,751-1000
K012,430 HOWARD AVENUE CONSOLIDATED LOCATION,430 HOWARD AVENUE,K,23,367,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,3C,251-500
K013,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,557 PENNSYLVANIA AVENUE,K,19,494,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,3C,251-500
K014,2424 BATCHELDER STREET CONSOLIDATED LOCATION ,2424 BATCHELDER STREET,K,22,838,2,J.H.S 014 Shell Bank | PS 77 (Brooklyn) |CONDOLIDATED LOCATION,5C,751-1000
K015,P.S. 015 Patrick F. Daly,71 SULLIVAN STREET,K,15,454,1,P.S. 015 Patrick F. Daly,3C,251-500
K016,157 WILSON STREET CONSOLIDATED LOCATION,157 WILSON STREET,K,14,238,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,2C,1-250
K017,208 NORTH  5 STREET CONSOLIDATED LOCATION,208 NORTH  5 STREET,K,14,809,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,5C,751-1000
K018,P.S. 018 Edward Bush,101 MAUJER STREET,K,14,192,1,P.S. 018 Edward Bush,2C,1-250
K019,325 SOUTH  3 STREET CONSOLIDATED LOCATION,325 SOUTH  3 STREET,K,14,447,2,P.S. 019 Roberto Clemente |  Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,3C,251-500
K020,225 ADELPHI STREET CONSOLIDATED LOCATION,225 ADELPHI STREET,K,13,871,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,5C,751-1000
K021,P.S. 021 Crispus Attucks,180 CHAUNCEY STREET,K,16,640,1,P.S. 021 Crispus Attucks,4C,501-750
K022,443 ST MARKS AVENUE CONSOLIDATED LOCATION,443 ST. MARKS AVENUE,K,17,340,2,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,3C,251-500
K023,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,545 WILLOUGHBY AVENUE,K,14,297,2,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,3C,251-500
K024,P.S. 024,427 38 STREET,K,15,712,1,P.S. 024,4C,501-750
K025,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,787 LAFAYETTE AVENUE,K,16,288,2,P.S. 025 Eubie Blake School |  Upper School @ P.S. 25 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,3C,251-500
K026,1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,1014 LAFAYETTE AVENUE,K,16,550,3,P.S. 026 Jesse Owens |  Frederick Douglass Academy IV Secondary School |  Madiba Prep Middle School |1014 LAFAYETTE AVENUE CONSOLIDATED LOCATION,4C,501-750
K027,27 HUNTINGTON STREET CONSOLIDATED LOCATION,27 HUNTINGTON STREET,K,15,219,2,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,2C,1-250
K028,P.S. 028 The Warren Prep Academy,1001 HERKIMER STREET,K,16,219,1,P.S. 028 The Warren Prep Academy,2C,1-250
K029,P.S. 029 John M. Harrigan,425 HENRY STREET,K,15,846,1,P.S. 029 John M. Harrigan,5C,751-1000
K031,P.S. 031 Samuel F. Dupont,75 MESEROLE AVENUE,K,14,623,1,P.S. 031 Samuel F. Dupont,4C,501-750
K032,317 HOYT STREET CONSOLIDATED LOCATION,317 HOYT STREET,K,15,676,2,P.S. 032 Samuel Mills Sprole |  M.S. 442 Carroll Gardens School for Innovation |  317 HOYT STREET CONSOLIDATED LOCATION ,4C,501-750
K033,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,70 TOMPKINS AVENUE,K,14,429,4,Foundations Academy|  The Urban Assembly School for the Urban Environmen|  P.S. 368|  Success Academy Charter School - Bed-Stuy 1|  70 TOMPKINS AVENUE CONSOLIDATED LOCATION,3C,251-500
K034,P.S. 034 Oliver H. Perry,131 NORMAN AVENUE,K,14,512,1,P.S. 034 Oliver H. Perry,4C,501-750
K035,272 MACDONOUGH STREET CONSOLIDATED LOCATION,272 MACDONOUGH STREET,K,16,418,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,3C,251-500
K038,P.S. 038 The Pacific,450 PACIFIC STREET,K,15,540,1,P.S. 038 The Pacific,4C,501-750
K039,P.S. 039 Henry Bristow,417 6 AVENUE,K,15,408,1,P.S. 039 Henry Bristow,3C,251-500
K040,265 RALPH AVENUE CONSOLIDATED LOCATION,265 RALPH AVENUE,K,16,540,2,P.S. 040 George W. Carver |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION,4C,501-750
K041,P.S. 041 Francis White,411 THATFORD AVENUE,K,23,528,1,P.S. 041 Francis White,4C,501-750
K043,I.S. 98 Bay Academy,1401 EMMONS AVENUE,K,21,1442,1,I.S. 98 Bay Academy,7C,1251-1500
K044,P.S. 044 Marcus Garvey,432 MONROE STREET,K,13,261,1,P.S. 044 Marcus Garvey,3C,251-500
K045,P.S./I.S. 045 Horace E. Greene,84 SCHAEFER STREET,K,32,844,1,P.S./I.S. 045 Horace E. Greene,5C,751-1000
